Recd#,File_Name,EQID,SN,EQ#,R#,ST,FM,Mw,fDepth,SDist,Vdist,Rjb,Rx,SC,TVS30,Ts1,ImpR1,Ts2,ImpR2,Sa(gal),NWiD,Sa(g),staLon,staLat,ELon,ELat
9235,TCG0021103191856,201103191856E,TCG002,218,90,1,3,5.86,5.4,72.3,38.4,72.1,1000,1,0.205,0.167,3.7,0.103,5.62,3.26E+01,Knet,3.32E-02,139.8033,36.99,140.572,36.784
9236,TCG0071103191856,201103191856E,TCG007,218,91,1,3,5.86,5.4,65.9,0,65.7,1000,1,0.209,0.166,3.7,0.102,5.62,7.78E+01,Knet,7.93E-02,139.8861,36.5692,140.572,36.784
9237,TCG0111103191856,201103191856E,TCG011,218,92,1,3,5.86,5.4,96.3,0,96.2,1000,1,0.236,0.15,3.7,0.159,5.62,7.20E+01,Knet,7.34E-02,139.6145,36.3867,140.572,36.784
9238,TCG0141103191856,201103191856E,TCG014,218,93,1,3,5.86,5.4,44.7,0,44.3,1000,2,0.272,0.303,3.7,0.194,5.62,5.22E+02,Knet,5.33E-01,140.1742,36.545,140.572,36.784
9239,TCGH071103191856,201103191856E,TCGH07,218,94,1,3,5.86,5.4,100.3,64.3,100.2,1000,2,0.286,0.253,2.76,0.294,2.87,8.20E+01,Kik,8.35E-02,139.4534,36.8817,140.572,36.784
9240,TCGH091103191856,201103191856E,TCGH09,218,95,1,3,5.86,5.4,66.3,30.5,66.1,1000,2,0.256,0.233,2.55,0.233,2.55,4.07E+01,Kik,4.15E-02,139.8364,36.8625,140.572,36.784
9241,TCGH101103191856,201103191856E,TCGH10,218,96,1,3,5.86,5.4,49.9,14.4,49.6,1000,3,0.323,0.515,1.76,0.515,2.14,1.70E+02,Kik,1.73E-01,140.0225,36.8578,140.572,36.784
9242,TCGH111103191856,201103191856E,TCGH11,218,97,1,3,5.86,5.4,72.3,27.6,72,1000,2,0.365,0.329,3.13,0.316,3.13,1.63E+02,Kik,1.66E-01,139.7694,36.7084,140.572,36.784
9243,TCGH121103191856,201103191856E,TCGH12,218,98,1,3,5.86,5.4,53.6,3.9,53.3,1000,4,0.349,0.742,1.79,0.841,2.02,1.71E+02,Kik,1.74E-01,139.9842,36.6959,140.572,36.784
9244,TCGH131103191856,201103191856E,TCGH13,218,99,1,3,5.86,5.4,35.9,0,35.5,1000,1,0.209,0.107,5.6,0.145,3.17,5.72E+02,Kik,5.83E-01,140.1781,36.7342,140.572,36.784
9245,TCGH141103191856,201103191856E,TCGH14,218,100,1,3,5.86,5.4,89.4,28.3,89.2,1000,1,0.141,0.058,3.78,0.058,3.78,6.11E+01,Kik,6.23E-02,139.6154,36.5509,140.572,36.784
9246,TCGH151103191856,201103191856E,TCGH15,218,101,1,3,5.86,5.4,68.1,0,67.9,1000,2,0.284,0.251,2.57,1.148,1.43,2.00E+02,Kik,2.04E-01,139.8637,36.5595,140.572,36.784
9247,TCGH161103191856,201103191856E,TCGH16,218,102,1,3,5.86,5.4,51.8,0,51.5,1000,4,0.563,1.191,2.15,1.017,2.82,5.31E+02,Kik,5.42E-01,140.0751,36.548,140.572,36.784
9248,TKY0011103191856,201103191856E,TKY001,218,103,1,3,5.86,5.4,171.5,0,171.5,1000,2,0.252,0.296,3.7,0.19,5.62,2.23E+01,Knet,2.27E-02,139.0956,35.8029,140.572,36.784
9249,TKYH121103191856,201103191856E,TKYH12,218,104,1,3,5.86,5.4,170.6,0,170.6,1000,3,0.368,0.6,2.57,0.6,2.57,2.64E+01,Kik,2.69E-02,139.265,35.6701,140.572,36.784
9250,TKYH131103191856,201103191856E,TKYH13,218,105,1,3,5.86,5.4,176.8,0,176.8,1000,1,0.108,0.031,11.54,0.031,11.54,7.60E+00,Kik,7.74E-03,139.1275,35.7017,140.572,36.784
9251,YMNH111103191856,201103191856E,YMNH11,218,106,1,3,5.86,5.4,192.6,0,192.5,1000,3,0.407,0.423,3.39,0.423,3.39,2.29E+01,Kik,2.34E-02,138.9777,35.6247,140.572,36.784
9252,YMT0071103191856,201103191856E,YMT007,218,107,1,3,5.86,5.4,183.9,123.6,183.8,1000,2,0.265,0.247,3.7,0.157,5.62,1.09E+01,Knet,1.11E-02,140.3907,38.4306,140.572,36.784
9253,YMT0081103191856,201103191856E,YMT008,218,108,1,3,5.86,5.4,185.4,136.3,185.3,1000,2,0.3,0.298,3.7,0.19,5.62,1.10E+01,Knet,1.12E-02,139.9921,38.3856,140.572,36.784
9254,YMT0101103191856,201103191856E,YMT010,218,109,1,3,5.86,5.4,165.4,107.8,165.3,1000,2,0.229,0.24,3.7,0.152,5.62,1.33E+01,Knet,1.36E-02,140.3488,38.2604,140.572,36.784
9255,YMT0111103191856,201103191856E,YMT011,218,110,1,3,5.86,5.4,154.4,101,154.3,1000,3,0.39,0.436,3.54,0.305,4.64,2.68E+01,Knet,2.73E-02,140.2674,38.1502,140.572,36.784
9256,YMT0141103191856,201103191856E,YMT014,218,111,1,3,5.86,5.4,140.9,85.9,140.8,1000,2,0.29,0.283,3.7,0.181,5.62,1.97E+01,Knet,2.01E-02,139.8697,37.9207,140.572,36.784
9257,YMT0151103191856,201103191856E,YMT015,218,112,1,3,5.86,5.4,131.5,86,131.3,1000,4,0.51,0.611,2.82,0.492,3.21,1.66E+01,Knet,1.69E-02,140.0996,37.9043,140.572,36.784
9258,YMTH021103191856,201103191856E,YMTH02,218,113,1,3,5.86,5.4,167.5,113.5,167.4,1000,4,0.456,1.528,2.31,0.851,3.04,3.36E+01,Kik,3.42E-02,140.2583,38.2693,140.572,36.784
9259,YMTH041103191856,201103191856E,YMTH04,218,114,1,3,5.86,5.4,146.3,92.3,146.2,1000,4,0.485,1.035,3.32,1.035,3.32,3.09E+01,Kik,3.15E-02,140.2978,38.0813,140.572,36.784
9260,YMTH071103191856,201103191856E,YMTH07,218,115,1,3,5.86,5.4,132.8,89.2,132.7,1000,4,0.323,0.88,1.55,0.88,1.8,1.53E+01,Kik,1.56E-02,140.0278,37.896,140.572,36.784
9261,YMTH141103191856,201103191856E,YMTH14,218,116,1,3,5.86,5.4,185.4,136.3,185.3,1000,4,0.386,0.914,2.12,0.514,2.79,1.04E+01,Kik,1.06E-02,139.9916,38.386,140.572,36.784
9262,YMTH151103191856,201103191856E,YMTH15,218,117,1,3,5.86,5.4,186.9,135.9,186.8,1000,4,0.42,0.835,2.26,0.835,2.43,8.78E+00,Kik,8.95E-03,140.1249,38.4257,140.572,36.784
