cellid,cellname,q1X,q1Y,q1Z,q2X,q2Y,q2Z,q3X,q3Y,q3Z,q4X,q4Y,q4Z,q5X,q5Y,q5Z,q6X,q6Y,q6Z,q7X,q7Y,q7Z,q8X,q8Y,q8Z,mptX,mptY,mptZ,UTMzone,q1Lat,q1Lon,q2Lat,q2Lon,q3Lat,q3Lon,q4Lat,q4Lon,q5Lat,q5Lon,q6Lat,q6Lon,q7Lat,q7Lon,q8Lat,q8Lon,mptLat,mptLon
20,c.20,-700.0,3900.0,-70.0,-675.0,3900.0,-70.0,-700.0,3925.0,-70.0,-675.0,3925.0,-70.0,-700.0,3900.0,0.0,-675.0,3900.0,0.0,-700.0,3925.0,0.0,-675.0,3925.0,0.0,-687.5,3912.5,-35.0,54,34.537834375353654,127.96271791122743,34.5663927431091,128.2283056278803,34.75743875759838,127.92768138511738,34.78623081543807,128.19393418153808,34.537834375353654,127.96271791122743,34.5663927431091,128.2283056278803,34.75743875759838,127.92768138511738,34.78623081543807,128.19393418153808,34.66204891351613,128.0781597757697
21,c.21,-700.0,3925.0,-70.0,-675.0,3925.0,-70.0,-700.0,3950.0,-70.0,-675.0,3950.0,-70.0,-700.0,3925.0,0.0,-675.0,3925.0,0.0,-700.0,3950.0,0.0,-675.0,3950.0,0.0,-687.5,3937.5,-35.0,54,34.75743875759838,127.92768138511738,34.78623081543807,128.19393418153808,34.97700395368975,127.89226378443611,35.00603088864607,128.15918850103088,34.75743875759838,127.92768138511738,34.78623081543807,128.19393418153808,34.97700395368975,127.89226378443611,35.00603088864607,128.15918850103088,34.881751449864794,128.04326696234693
22,c.22,-700.0,3950.0,-70.0,-675.0,3950.0,-70.0,-700.0,3975.0,-70.0,-675.0,3975.0,-70.0,-700.0,3950.0,0.0,-675.0,3950.0,0.0,-700.0,3975.0,0.0,-675.0,3975.0,0.0,-687.5,3962.5,-35.0,54,34.97700395368975,127.89226378443611,35.00603088864607,128.15918850103088,35.19652951991271,127.85646108314141,35.2257925347762,128.1240646228422,34.97700395368975,127.89226378443611,35.00603088864607,128.15918850103088,35.19652951991271,127.85646108314141,35.2257925347762,128.1240646228422,35.10141517867282,128.00799449716612
23,c.23,-700.0,3975.0,-70.0,-675.0,3975.0,-70.0,-700.0,4000.0,-70.0,-675.0,4000.0,-70.0,-700.0,3975.0,0.0,-675.0,3975.0,0.0,-700.0,4000.0,0.0,-675.0,4000.0,0.0,-687.5,3987.5,-35.0,54,35.19652951991271,127.85646108314141,35.2257925347762,128.1240646228422,35.41601500673589,127.82026918850612,35.44551532027917,128.08855851764625,35.19652951991271,127.85646108314141,35.2257925347762,128.1240646228422,35.41601500673589,127.82026918850612,35.44551532027917,128.08855851764625,35.32103966129275,127.9723383523243
24,c.24,-700.0,4000.0,-70.0,-675.0,4000.0,-70.0,-700.0,4025.0,-70.0,-675.0,4025.0,-70.0,-700.0,4000.0,0.0,-675.0,4000.0,0.0,-700.0,4025.0,0.0,-675.0,4025.0,0.0,-687.5,4012.5,-35.0,54,35.41601500673589,127.82026918850612,35.44551532027917,128.08855851764625,35.63545995868529,127.78368393986335,35.66519880589114,128.0526660890652,35.41601500673589,127.82026918850612,35.44551532027917,128.08855851764625,35.63545995868529,127.78368393986335,35.66519880589114,128.0526660890652,35.54062445331125,127.93629443304708
25,c.25,-700.0,4025.0,-70.0,-675.0,4025.0,-70.0,-700.0,4050.0,-70.0,-675.0,4050.0,-70.0,-700.0,4025.0,0.0,-675.0,4025.0,0.0,-700.0,4050.0,0.0,-675.0,4050.0,0.0,-687.5,4037.5,-35.0,54,35.63545995868529,127.78368393986335,35.66519880589114,128.0526660890652,35.85486391421447,127.7467011073229,35.88484254650834,128.01638317239772,35.63545995868529,127.78368393986335,35.66519880589114,128.0526660890652,35.85486391421447,127.7467011073229,35.88484254650834,128.01638317239772,35.76016910442316,127.89985857642537
26,c.26,-700.0,4050.0,-70.0,-675.0,4050.0,-70.0,-700.0,4075.0,-70.0,-675.0,4075.0,-70.0,-700.0,4050.0,0.0,-675.0,4050.0,0.0,-700.0,4075.0,0.0,-675.0,4075.0,0.0,-687.5,4062.5,-35.0,54,35.85486391421447,127.7467011073229,35.88484254650834,128.01638317239772,36.07422640557214,127.7093163904577,36.10444609105894,127.97970553331773,35.85486391421447,127.7467011073229,35.88484254650834,128.01638317239772,36.07422640557214,127.7093163904577,36.10444609105894,127.97970553331773,35.97967315830263,127.86302655012301
27,c.27,-700.0,4075.0,-70.0,-675.0,4075.0,-70.0,-700.0,4100.0,-70.0,-675.0,4100.0,-70.0,-700.0,4075.0,0.0,-675.0,4075.0,0.0,-700.0,4100.0,0.0,-675.0,4100.0,0.0,-687.5,4087.5,-35.0,54,36.07422640557214,127.7093163904577,36.10444609105894,127.97970553331773,36.29354695866618,127.67152541695962,36.324008982371645,127.94262886654282,36.07422640557214,127.7093163904577,36.10444609105894,127.97970553331773,36.29354695866618,127.67152541695962,36.324008982371645,127.94262886654282,36.199136152471134,127.82579405105403
28,c.28,-700.0,4100.0,-70.0,-675.0,4100.0,-70.0,-700.0,4125.0,-70.0,-675.0,4125.0,-70.0,-700.0,4100.0,0.0,-675.0,4100.0,0.0,-700.0,4125.0,0.0,-675.0,4125.0,0.0,-687.5,4112.5,-35.0,54,36.29354695866618,127.67152541695962,36.324008982371645,127.94262886654282,36.51282509292476,127.63332374126398,36.54353075704143,127.9051487944714,36.29354695866618,127.67152541695962,36.324008982371645,127.94262886654282,36.51282509292476,127.63332374126398,36.54353075704143,127.9051487944714,36.41855761816234,127.78815670402923
29,c.29,-700.0,4125.0,-70.0,-675.0,4125.0,-70.0,-700.0,4150.0,-70.0,-675.0,4150.0,-70.0,-700.0,4125.0,0.0,-675.0,4125.0,0.0,-700.0,4150.0,0.0,-675.0,4150.0,0.0,-687.5,4137.5,-35.0,54,36.51282509292476,127.63332374126398,36.54353075704143,127.9051487944714,36.732060321153874,127.5947068431419,36.763010945291626,127.86726086578774,36.51282509292476,127.63332374126398,36.54353075704143,127.9051487944714,36.732060321153874,127.5947068431419,36.763010945291626,127.86726086578774,36.63793708018373,127.75011006037091
